Título,Compañía,Ubicación,Descripción
Soporte Informático Nivel 2,Genesys Tecncologias de Inform. SpA,Iquique,"Somos una empresa con 30 años en el mercado, contamos con servicios de fábrica de desarrollo de software y prestación de servicios de profesionales a través de Outsourcing, nuestra matriz está en Concepción y contamos con una operación en Santiago.Buscamos un profesional con experiencia en desarrollo Soporte Informático nivel 2.

Tu rol incluirá apoyar y asesorar a los usuarios, realizar mantenciones y reparaciones básicas, y gestionar equipos informáticos. Derivar temas fuera de alcance a coordinadores. Asesorar a usuarios en el uso de plataformas tecnológicas y periféricos. Mantener y reparar computadores y otros periféricos. Instalar y reubicar equipos informáticos. Evaluar el estado de los equipos y gestionar su reparación o baja. Mantener y actualizar imágenes de sistemas operativos. Formatear y preparar equipos para usuarios. Gestionar equipamiento defectuoso con fabricantes. Soporte y gestión de salas con equipamiento audiovisual.

Experiencia en soporte técnico de terreno y remoto. Conocimiento en sistemas operativos Windows y Linux. Habilidades en diagnóstico y reparación de hardware. Experiencia en configuración y mantenimiento de redes. Capacidad para instalar, configurar y actualizar software. Excelentes habilidades de comunicación y servicio al cliente. Si te apasiona la tecnología, tienes habilidades en soporte y te gusta trabajar tanto de forma remota como presencial, ¡queremos conocerte!"
AI Software Engineer,ELSA,Remote,"Somos una Startup Peruana abordando un problema global de alto impacto. Nuestro producto Saas esta siendo usado por 8 paises en la region y estamos desarrollando nuevas funcionalidades en la plataforma, incorporando GenAI y Datos. Somos parte de la comunidaad de Startup Peru, Startup Chile, Ademas parte del portafolio de UtecVentures.

Buscamos Software Engineer que se una al equipo para aportar en funcionalidades nuevas en el crecimiento de nuestra plataforma. Como parte del team tendrás las siguientes funciones: Participar en la planificación y desarrollo de nuevas funcionalidades o mejoras a la plataforma Documentar y comunicar efectivamente en reuniones de producto Mantener buenas prácticas de desarrollo Aportar en la arquitectura y uso de nuevas herramientas de desarrollo Mantener una coordinación con el equipo de producto para el desarrollo del proyecto

Te estamos buscando si te identificas con los siguientes puntos: Tienes experiencia desarrollando RESTful APIs con Python y Django. Tienes experiencia o conocimiento del manejo de datos para aplicativos web. Interés por GenAI y Datascience aplicado Tienes conocimientos de principios de arquitectura de software, patrones de diseño y complejidad algorítmica. Has hecho profiling de código y de consultas a la base de datos, identificando y resolviendo problemas de performance. Escribes tests para tu código. Has hecho uso de herramientas de control de versiones, tienes buenas prácticas en ellas y entiendes de conceptos como gitflow Te gusta involucrarte a nivel de producto y aportar ideas. Puedes comunicar claramente tus ideas y tienes iniciativa para coordinar con tu equipo de trabajo. Te gusta investigar y estás constantemente aprendiendo. Puedes leer y escribir en inglés a un nivel básico-intermedio.

- Experiencia trabajando con aplicaciones basadas en Datos.- Experiencia con nuestro Stack actual: Python, Django, Typescript, React, AWS.

Remoto por siempre Proyecto con impacto social Pertenecer de un equipo multidisciplinario altamente motivado Dia libre de cumpleaños Asumimos el seguro EPS en caso de estar en Peru Pertenecer a una comunidad de startups regionales Contamos con Modalidad hibrida de oficinas en Comunal Coworking"
Technical Project Manager,Leniolabs_,Remote,"Leniolabs es una empresa de desarrollo de software con sedes en Argentina, Chile, España y USA.Colaboramos en el desarrollo de software de nuestros clientes que se encuentran principalmente en San Francisco, sumándose con nuestros equipos y estructura.Nuestra experiencia se basa fuertemente en el desarrollo frontend con lenguajes como Javascript, React y Angular. También trabajamos algunos proyectos en backend con lenguajes como Ruby on Rails, Python (classifiers y big data structures) y NodeJS.Valoramos a las/los desarrolladoras/es dinámicas/os en el aprendizaje de nuevas tecnologías para utilizarlas en los proyectos.Trabajamos con equipos distribuidos, de manera remota y colaborativa, utilizando herramientas como Slack, Zoom, HO, Jira, etc.

En Leniolabs estamos buscando a una persona altamente motivada, con sólidos fundamentos en ciencia de datos aplicada en un entorno empresarial, que disfrute de evangelizar soluciones de ciencia de datos a los diferentes grupos de interés. Este será un rol coninteracción directa con los clientes. Diseñar y desarrollar aplicaciones y soluciones de machine learning en función de los requerimientos del proyecto. Dirigir y gestionar proyectos de ciencia de datos, asegurando el éxito del equipo de trabajo en colaboración con equipos multifuncionales. Construir relaciones de confianza a largo plazo con el equipo para asegurar la continuidad del proyecto y el logro de los objetivos. Entender y abordar los desafíos técnicos y operativos en la implementación de soluciones de IA. Resolver problemas complejos, impactando en múltiples sectores e industrias (Agricultura, Banca, Seguros, Finanzas, Salud, e-commerce, Marketing, Oil & Gas, etc.). Representar la experiencia técnica en AI/ML, interactuando con distintos socios comerciales y tecnológicos a nivel global. Mantenerse actualizado sobre innovaciones en ciencia de datos y aplicarlas de manera efectiva en los proyectos. Convertirse en un experto en las herramientas y plataformas utilizadas para habilitar, enseñar y apoyar en la creación de aplicaciones tecnológicas. Colaborar con los equipos de Data Science, Ingeniería y Producto para diseñar soluciones técnicas de alto impacto. Trabajarás en un entorno de ritmo acelerado junto a un equipo de ingeniería, producto y ciencia de datos altamente especializado.

Más de 3 años de experiencia relevante resolviendo problemas complejos de datos utilizando Machine Learning y soluciones de Big Data. Experiencia en aplicaciones de Machine Learning y Deep Learning (regresión y clasificación, aprendizaje supervisado y no supervisado). Experiencia en inteligencia artificial generativa aplicada. Sólida formación en matemáticas (álgebra lineal, cálculo, probabilidad y estadística). Amplia experiencia en programación con Python. Experiencia en minería de datos, machine learning e investigación operativa. Buen conocimiento en pronósticos de demanda, optimización/gestión de inventarios, detección de fraude, predicción de abandono de clientes (churn). Experiencia en roles de cara al cliente y excelentes habilidades de presentación y comunicación. Capacidad para liderar un proyecto y trabajar tanto de forma individual como en equipo. Experiencia comprobada en traducir desafíos comerciales en pipelines de datos y marcos de modelos.

Familiaridad con plataformas de Machine Learning en AWS o GCP (SageMaker, Amazon Rekognition, Vertex, Vision, etc.) sería un plus.

Salario dolarizado (Argentina). 100% Remoto. Posibilidad de recibir 2 bonos al año. 2 revisiones salariales al año. Clases de inglés. Equipamiento Apple. Cursos UDEMY. Budget para compra de libros. Budget para compra de materiales de trabajo."
Technical Project Manager,Leniolabs_,Remote,"Leniolabs es una empresa de desarrollo de software con sedes en Argentina, Chile, España y USA.Colaboramos en el desarrollo de software de nuestros clientes que se encuentran principalmente en San Francisco, sumándose con nuestros equipos y estructura.Nuestra experiencia se basa fuertemente en el desarrollo frontend con lenguajes como Javascript, React y Angular. También trabajamos algunos proyectos en backend con lenguajes como Ruby on Rails, Python (classifiers y big data structures) y NodeJS.Valoramos a las/los desarrolladoras/es dinámicas/os en el aprendizaje de nuevas tecnologías para utilizarlas en los proyectos.Trabajamos con equipos distribuidos, de manera remota y colaborativa, utilizando herramientas como Slack, Zoom, HO, Jira, etc.

En Leniolabs estamos buscando un Technical Project Manager con experiencia en machine learning y big data, que disfrute liderando proyectos desafiantes y colaborando con equipos multiculturales. Queremos a alguien que pueda convertir necesidades comerciales en soluciones técnicas efectivas y que se sienta cómodo trabajando con clientes internacionales. Si te apasiona la inteligencia artificial y te mantienes al día con las últimas innovaciones en AI generativa, ¡nos encantaría que te sumes a nuestro equipo!

Experiencia en Machine Learning y Big Data: Alrededor de 3 años resolviendo problemas utilizando Machine Learning y soluciones de big data, incluidas aplicaciones de deep learning, regresión, clasificación y algoritmos de aprendizaje supervisado/no supervisado. Generative AI: Experiencia práctica en la aplicación de inteligencia artificial generativa en proyectos y soluciones. Trabajo en equipos ágiles: Experiencia preferida en equipos ágiles bajo metodología Scrum. Liderazgo y comunicación: Habilidades demostradas para liderar proyectos, traducir desafíos comerciales en soluciones técnicas, y colaborar eficazmente con equipos multifuncionales.

Salario dolarizado (Argentina). 100% Remoto. Posibilidad de recibir 2 bonos al año. 2 revisiones salariales al año. Clases de inglés. Equipamiento Apple. Cursos UDEMY. Budget para compra de libros. Budget para compra de materiales de trabajo."
Ingeniero en Inteligencia Artificial,BICE VIDA,Santiago,"En BICE VIDA somos líderes en el rubro de las aseguradoras y queremos satisfacer las necesidades de seguridad, prosperidad y protección de nuestros clientes. Estamos apostando por la transformación digital, buscando nuevas formas de realizar el negocio, para mantenernos vigente y responder a los constantes cambios que el entorno nos exige.¡Únete a un equipo apasionado y altamente motivado por brindar soluciones innovadoras a sus clientes!“Esta oferta se enmarca en la ley 21.015 que incentiva la inclusión laboral de personas en situación de discapacidad. Aquellos interesados, contarán con el apoyo de la Compañía para realizar un proceso inclusivo y en igualdad de condiciones. BICE Vida se compromete a resguardar la información que postulantes en situación de discapacidad proporcionen de manera voluntaria”.

En BICE Vida estamos en la búsqueda de un Ingeniero en Inteligencia Artificial apasionado por la tecnología y la innovación. Este rol clave estará a cargo de diseñar, desarrollar, implementar y mantener productos tecnológicos basados en IA, así como de promover prácticas continuas de adopción y uso de nuevas tecnologías. Serás parte esencial en la construcción de una cultura “Data Driven” y de innovación dentro de la compañía. Tus principales responsabilidades serán: Desarrollar y aplicar herramientas de IA en el marco de los casos de negocio estratégicos de la Compañía. Elaborar y calcular indicadores que midan el impacto de los productos tecnológicos desarrollados. Fomentar el desarrollo de una cultura de ‘agile analytics’ en la organización. Investigar y mantenerse actualizado sobre las últimas aplicaciones y tendencias en IA.

Ingeniero Civil, Matemáticas/Estadísticas, Ciencias de la Computación, Ingeniería de Software u otros perfiles especializados y afín al rol. Conocimiento en lenguajes de programación Java y Python, incluyendo el uso de librerías de IA como TensorFlow, PyTorch y Keras. Experiencia en el desarrollo de casos de uso con IA generativa. Manejo de herramientas para preprocesamiento de datos, ‘augmentation’, generación de datos, limpieza, indexación y etiquetado. Experiencia en procesamiento y Desarrollo Cloud AWS

Deseable Máster en Inteligencia Artificial, Data Science, Computer Science o Tecnología de la Información.

Contamos con la mejor cobertura de la industria y te brindamos un seguro complementario de salud, dental y vida, y además un seguro catastrófico (Para ti y tus cargas legales). 🏅 Bonos en UF dependiendo de la estación del año y del tiempo que lleves en nuestra Compañía. 🎁 Salida anticipada los días viernes, hasta las 16:00 hrs, lo que te permitirá balancear tu vida personal y laboral. 🙌 Dress code casual, porque privilegiamos la comodidad. 👟 Almuerzo gratis en la oficina (con viernes de barra no-fit) 🍟 Contamos con capacitaciones constantes, para impulsar y empoderar equipos diversos con foco en buscar mejores resultados. Nuestra Casa Matriz se encuentran en el corazón de Providencia a pasos del metro de Pedro de Valdivia. 🚇 Puedes venir en bicicleta y la cuidamos por ti. Ten"
Machine Learning Engineer,NeuralWorks,Santiago,"NeuralWorks es una compañía de alto crecimiento fundada hace 3 años. Estamos trabajando a toda máquina en cosas que darán que hablar.Somos un equipo donde se unen la creatividad, curiosidad y la pasión por hacer las cosas bien. Nos arriesgamos a explorar fronteras donde otros no llegan: un modelo predictor basado en monte carlo, una red convolucional para detección de caras, un sensor de posición bluetooth, la recreación de un espacio acústico usando finite impulse response.Estos son solo algunos de los desafíos, donde aprendemos, exploramos y nos complementamos como equipo para lograr cosas impensadas.Trabajamos en proyectos propios y apoyamos a corporaciones en partnerships donde codo a codo combinamos conocimiento con creatividad, donde imaginamos, diseñamos y creamos productos digitales capaces de cautivar y crear impacto.👉 Conoce más sobre nosotros

El equipo de Data y Analytics trabaja en diferentes proyectos que combinan volúmenes de datos enormes e IA, como detectar y predecir fallas antes que ocurran, optimizar pricing, personalizar la experiencia del cliente, optimizar uso de combustible, detectar caras y objetos usando visión por computador.Trabajarás transformando los procesos a MLOps y creando productos de datos a la medida basados en modelos analíticos, en su gran mayoría de Machine Learning, pero pudiendo usar un espectro de técnicas más amplio.Dentro del equipo multidisciplinario con Data Scientist, Translators, DevOps, Data Architect, tu rol será extremadamente importante y clave para el desarrollo y ejecución de los productos, pues eres quien conecta la habilitación y operación de los ambientes con el mundo real. Te encargarás de aumentar la velocidad de entrega, mejorar la calidad y la seguridad del código, entender la estructura de los datos y optimizar los procesos para el equipo de desarrollo. En cualquier proyecto que trabajes, esperamos que tengas un gran espíritu de colaboración, pasión por la innovación y el código y una mentalidad de automatización antes que procesos manuales.Como MLE, tu trabajo consistirá en: Trabajar directamente con el equipo de Data Scientists para poner en producción modelos de Machine Learning utilizando y creando pipelines de ML. Recolección de grandes volúmenes y variados conjuntos de datos. Recolección de interacción con la realidad para su posterior reentrenamiento. Construir las piezas necesarias para servir nuestros modelos y ponerlos a interactuar con el resto de la compañía en un entorno real y altamente escalable. Trabajar muy cerca de los Data Scientists buscando maneras eficientes de monitorear, operar y darle explicabilidad a los modelos. Promover una cultura técnica impulsando los productos de datos con las prácticas DevSecOps, SRE y MLOps.

Estudios de Ingeniería Civil en Computación o similar. Experiencia práctica de al menos 3 años en entornos de trabajo como Software Engineer, ML Engineer, entre otros. Experiencia con Python. Entendimiento de estructuras de datos con habilidades analíticas relacionadas con el trabajo con conjuntos de datos no estructurados, conocimiento avanzado de SQL, incluida optimización de consultas. Pasión en problemáticas de procesamiento de datos. Experiencia con servidores cloud (GCP, AWS o Azure), especialmente el conjunto de servicios de procesamiento de datos. Buen manejo de inglés, sobre todo en lectura donde debes ser capaz de leer un paper, artículos o documentación de forma constante. Habilidades de comunicación y trabajo colaborativo. “Los hombres postulan a un cargo cuando cumplen el 60% de las calificaciones, pero las mujeres sólo si cumplen el 100%.” Gaucher, D., Friesen, J., & Kay, A. C. (2011).Te invitamos a postular aunque no cumplas con todos los requisitos.

Agilidad para visualizar posibles mejoras, problemas y soluciones en Arquitecturas. Experiencia en Infrastructure as code, observabilidad y monitoreo. Experiencia en la construcción y optimización de data pipelines, colas de mensajes y arquitecturas big data altamente escalables. Experiencia en procesamiento distribuido utilizando servicios cloud. Experiencia usando pipelines de CI/CD y Docker.

MacBook Air M2 o similar (con opción de compra hiper conveniente) Bono por desempeño Bono de almuerzo mensual y almuerzo de equipo los viernes Seguro complementario de salud y dental Horario flexible Flexibilidad entre oficina y home office Medio día libre el día de tu cumpleaños Inscripción en Coursera con plan de entrenamiento a medida Estacionamiento de bicicletas Vestimenta informal Salida de “teambuilding” mensual"
Subgte Adj Prog Inteligencia Artificial,BCP,Lima,"SUBGTE ADJ PROG INTELIGENCIA ARTIFICIALQueremos que tu talento se sume al del BCP, para seguir siendo el banco que todo el tiempo está innovando, es pionero y digital. Juntos tendremos la posibilidad de generar un impacto positivo en nuestro país, teniendo como objetivo que los peruanos logren transformar sus planes en realidad. #SumaBCP¿Ya sabes que hacemos los SUBGTE ADJ PROG INTELIGENCIA ARTIFICIAL en el BCP?Somos los encargados de lograr la adopción de los proyectos de IA, generando un impacto significativo a cada empresa del grupo.

Ser la primera línea de contacto con el negocio para entender sus principales necesidades y crear en conjunto planes y soluciones tecnológicas que estén alineadas con la estrategia del negocio. Garantizar la correcta implementación de las soluciones de Inteligencia Artificial en cada dominio, siendo el punto de unión entre negocio y producto, coordinando y alineando expectativas con todos los principales stakeholders (los propietarios de los datos, consumidores, usuarios finales, entre otros). Identificar y definir datos críticos en los dominios de información, garantizando su definición unívoca y su entendimiento común por toda la organización Garantizar que las iniciativas de Inteligencia Artificial cumplan con los lineamientos corporativos de gobierno, datos, calidad, riesgos y seguridad. Identificar el nivel de confidencialidad y sensibilidad de cada iniciativa, para garantizar su adecuado nivel de seguridad. Definir métricas de medición y performance para cada iniciativa, con la finalidad de medir la contribución. Desarrollo de Business Case para calcular el retorno de las iniciativas que se vienen implementando. Que cada proyecto tenga una definición, alcance, y entregables claros, de conocimiento por los stakeholders y acordes con el tiempo y recursos asignados. Que cada uno de los resultados de los análisis, soluciones y pilotos tengan el sustento numérico y metodológico correcto, y que a su vez respondan al problema de negocio definido. Trabajar en equipo con squads de desarrollo, áreas de negocio, centros de excelencia, proveedores externos y demás partes implicadas en la construcción de las soluciones. Que se fomente una comunicación clara y un buen ambiente de trabajo dentro del equipo.

Tienes de 3 a 4 años de experiencia en puestos de analista de desarrollo e implementación de proyectos estratégicos, Analista de planificación o estrategia, Business Intelligence, Analistas de Negocios, Analista de Producto, Inteligencia Comercial y Data Scientist. Tienes experiencia mínima de 2 años trabajando en alguno de los siguientes sectores: Banca, Seguros, Microfinanzas, Fondos de Pensiones, Entidades de prestaciones de Salud. Tienes experiencia implementando indicadores de gestión como KPIs u OKRs. Tienes experiencia en el desarrollo de Dashboards con PowerBI, Qlik, Tableau o similares. Tienes experiencia desarrollando presentaciones y utilizando técnicas de Storytelling. Tienes conocimiento en Excel a nivel intermedio , Power BI a nivel intermedio, Tableau.

Tienes conocimiento en SQL , PLSQL, R, PYTHON, Soluciones de Inteligencia Artificial Generativa, Cognitiva (DESEABLE)."
AI Engineer,Leniolabs_,Remote,"Leniolabs es una empresa de desarrollo de software con sedes en Argentina, Chile, España y USA.Colaboramos en el desarrollo de software de nuestros clientes que se encuentran principalmente en San Francisco, sumándose con nuestros equipos y estructura y trabajando directamente con ellos.Nuestra experiencia se basa fuertemente en el desarrollo frontend con lenguajes como Javascript, React y Angular. También trabajamos algunos proyectos en backend con lenguajes como Ruby on Rails, Python (classifiers y big data structures) y NodeJS.Valoramos a las/los desarrolladoras/es dinámicas/os en el aprendizaje de nuevas tecnologías para utilizarlas en los proyectos.Trabajamos con equipos distribuidos, de manera remota y colaborativa, utilizando herramientas como Slack, Zoom, HO, Jira, etc.

En Leniolabs, estamos en búsqueda de un Ingeniero de IA Semi-Senior que esté entusiasmado por unirse a nuestro equipo. Este rol es ideal para alguien que desea contribuir con sus conocimientos en inteligencia artificial y colaborar en proyectos innovadores que marcan la diferencia en diversas industrias.Buscamos a un profesional que no solo traiga su experiencia técnica, sino que también comparta nuestra pasión por el trabajo en equipo y el desarrollo conjunto. En Leniolabs, valoramos la colaboración y el intercambio de ideas que impulsan la creatividad y la excelencia en todos nuestros proyectos.

Nivel de ingles: intermedio/avanzado en adelante. Experiencia y conociento en Langchain - excluyente Implementación y mantenimiento de AI Pipelines / Chains. Experiencia/Conocimiento de AI Agents Langraph Experiencia en el uso de bases de datos vectoriales - excluyente. Experiencia y conocimiento en modelos de lenguaje (Open AI, Bedrock) - excluyente. Experiencia/Conocimiento en implementacion de guardrails. Experiencia/Conocimiento en métricas de calidad y performance de agentes y AI pipelines. Experiencia en la generación de datasets sintéticos para testing. Experiencia y conocimiento en NLP.

Metlife (Chile) - Para el grupo familiar Salario dolarizado (Argentina) 100% Remoto. Aunque contamos con lugares de trabajo en Argentina y Chile Posibilidad de recibir 2 bonos al año 2 revisiones salariales al año Clases de inglés Equipamiento Apple Cursos UDEMY Budget para compra de libros Budget para compra de materiales de trabajo"
Desarrollador Web IA,I2B Technologies,Santiago,"¿Conoces a los Doers? 👀Actualmente nos encontramos en búsqueda de nuevos horizontes y búsqueda de ampliar nuestra red de profesionales con experiencia en Desarrollador Web Ir, quieres ser parte de nuestro team DOER? Pero... ¿Qué es un Doer?👀Los Doers somos la comunidad dentro de I2B Technologies. Somos pioneros en consultoría de estrategias digitales, desarrollo de software y proyectos de inteligencia artificial 🤖. Los Doers rompemos fronteras, estamos en Chile, Colombia y Perú.En I2B Technologies somos cercanos, nos encanta brindar el apoyo a nuestros clientes para su mejora, nos preocupamos de la eficiencia y la calidad de vida de sus usuarios.Si buscas un lugar de trabajo donde puedas aprender, trabajar en equipo y mostrar tus ideas y llevarlas a cabo sin dejar de lado tu espacio personal ¡Este es tu momento!Entonces… ¿Te gustaría ser un Doer? 😎

Interesados en diseñar, crear y mejorar sistemas inteligentes que pueden realizar tareas que normalmente requieren inteligencia humana. Esto incluye el desarrollo de algoritmos y modelos de aprendizaje automático, procesamiento del lenguaje natural, visión por computadora y análisis de datos. Desarrollo de Modelos de IA: Crear y entrenar modelos de aprendizaje automático y redes neuronales. Preprocesamiento de Datos: Limpiar y preparar datos para el entrenamiento. Optimización de Modelos: Ajustar y optimizar modelos para mejorar su rendimiento. Implementación de Algoritmos: Programar algoritmos utilizando frameworks y bibliotecas de IA.

⚡️ Experiencia previa como desarrollador web.⚡️ Experiencia en al menos 2 proyectos de Inteligencia Artificial como ChatGPT, Gemini, entre otros.⚡️ Integración con OpenIA a través de Azure IA Studio o AWS Bedrock o similares.

⚡️ Una semana de vacaciones adicional al año.⚡️ Equipo cercano y pequeño, con cero burocracia, no hay código de vestimenta.⚡️ Bonos para deportes y eventos especiales.⚡️ Podrás trabajar de forma remota.⚡️ Aporte monetario para compra de equipos y estudios relacionados a tu Rol.⚡️ Biblioteca digital para que puedas tener acceso a mucho conocimiento interesante, entre otros."
Machine Learning Engineer,Leniolabs_,Remote,"Leniolabs_ es una empresa internacional de desarrollo de software con miembros de equipos en Argentina, Chile, España y USA.Colaboramos en el desarrollo de software de nuestros clientes, sumándonos con nuestros equipos y estructura, trabajando de la mano con los clientes los cuales se encuentran mayoritariamente en San Francisco.Trabajamos con equipos distribuidos, de manera remota y colaborativa, utilizando herramientas como Slack, Zoom, HO, Jira, etc. Nuestra experiencia se basa fuertemente en front-end development y También trabajamos en desarrollo back-end.Valoramos a las personas dinámicas en el aprendizaje de nuevas tecnologías para utilizarlas en los proyectos.

En Leniolabs, estamos buscando un Machine Learning Engineer que esté motivado por la oportunidad de integrarse a nuestro equipo dinámico. Valoramos profesionales que no solo buscan aplicar sus habilidades técnicas, sino que también están listos para sumergirse en los desafíos de transformar ideas innovadoras en realidades tangibles.El profesional debe manejar Python ya que laborará principalmente con este lenguaje, en la implementación de una plataforma que por detrás tiene procesos de ML/AI, debe levantar datos y procesar archivos de datos.Es importante que tenga un verdadero interés en aprender y crecer en áreas emergentes como el Machine Learning, los servicios en la nube de AWS, y mostrar interés también en aprender de front-end. En Leniolabs, fomentamos un ambiente de trabajo colaborativo donde la comunicación clara y la cooperación son fundamentales para nuestro éxito colectivo. Aquí, tu contribución irá más allá de la codificación: ayudarás a moldear la dirección tecnológica de nuestros proyectos más innovadores.

Experiencia en Desarrollo FullStack: Back-end: Sólida experiencia en Python. Front-end: Experiencia con Angular es ideal, pero se considerarán otros frameworks. Inglés Avanzado -Indispensable. Conocimientos en Machine Learning y AWS: Manejo de conceptos de ML aplicados en Python. Experiencia práctica con servicios de AWS, integrándolos en aplicaciones Python. Versatilidad y Capacidad de Aprendizaje:Flexibilidad para adaptarse a nuevas tecnologías y cambios rápidamente. Capacidad de Enfrentar Desafíos:Interés y habilidad para superar desafíos técnicos y operativos complejos. Colaboración y Comunicación:Habilidad para trabajar efectivamente en equipo y comunicarse de manera clara con colegas y clientes.

Metlife (Chile) - Para el grupo familiar Salario dolarizado (Argentina) 100% Remoto. Aunque contamos con lugares de trabajo en Argentina y Chile Posibilidad de recibir 2 bonos al año 2 revisiones salariales al año Clases de inglés Equipamiento Apple Cursos UDEMY Budget para compra de libros Budget para compra de materiales de trabajo"
Machine Learning Engineer,Interfell,Remote,"Son una empresa consultora especializada en Machine Learning, dedicada a hacer que la inteligencia artificial sea accesible y omnipresente para las empresas. Su equipo de expertos en ML, ciencia de datos y desarrollo, ofrece soluciones en áreas especializadas como Computer Vision, Predictive Analytics y NLP.Actualmente, están buscando un Machine Learning Engineer talentoso y motivado para un rol técnico que incluye liderar, diseñar e implementar soluciones de aprendizaje automático para diferentes casos de uso empresarial.

Asumir la responsabilidad de proyectos de Machine Learning, incluyendo implementar soluciones de vanguardia. Participar en la investigación y el diseño de nuevas soluciones y arquitecturas complejas. Ser proactivo en la propuesta de nuevas herramientas, soluciones y metodologías. Trabajar con rastreadores de objetos desplegados en hardware edge, utilizar los últimos modelos NLP, trabajar con las últimas librerías y frameworks (FastAI, Tensorflow, TensorRT, etc).

Mínimo 3 años de experiencia en desarrollo de software Conocimiento de las técnicas y algoritmos populares de Machine Learning NLP, Computer Vision o Predictive Analytics Python TensorFlow Docker SQL AWS, GCP o Azure Git

Contrato indefinido, con tiempo de prueba en modalidad de contractor"
Content Strategist Junior,MATCH · Agencia-consultora,Santiago,"Nos encanta diseñar y crear productos digitales, asesorando a cada cliente en sus decisiones de negocio. Para ello, contamos con servicios de investigación UX, diseño UI, desarrollo, branding y marketing digital 💻. Las metodologías y el trabajo en equipo son para nosotros los pilares fundamentales de cualquier proyecto, creemos que gracias a la participación activa conseguimos resultados extraordinarios, ya que cada opinión, experiencia y/o conocimiento es clave para retro-alimentar nuestro equipo y superarnos día a día 🚀En Match, estamos en la búsqueda de un Content Strategist talentoso y creativo que se una a nuestro equipo. Si tienes experiencia desarrollando y ejecutando estrategias de contenido efectivas, y eres experto en el uso de herramientas de Inteligencia Artificial, ¡esta es tu oportunidad!

Desarrollo de Estrategias de Contenido: Crear y liderar estrategias de contenido alineadas con los objetivos de la empresa, asegurando que cada pieza de contenido resuene con la audiencia objetivo. 🎯📝 Optimización de Contenidos: Utilizar herramientas de análisis y SEO para optimizar el contenido, mejorando su visibilidad y alcance. 📈🔍 Uso de IA en el Contenido: Aplicar tecnologías de Inteligencia Artificial para personalizar y mejorar la eficacia del contenido en diferentes plataformas. 🤖💡 Colaboración Interdepartamental: Trabajar en estrecha colaboración con equipos de marketing, diseño, y desarrollo para asegurar la coherencia del mensaje y la estrategia de marca. 🤝🎨 Análisis de Rendimiento: Monitorear el rendimiento del contenido y ajustar las estrategias según los resultados obtenidos, utilizando insights basados en datos. 📊📉 Investigación de Mercado: Mantenerse al tanto de las tendencias de la industria y los cambios en las preferencias de los consumidores para mantener el contenido relevante y competitivo. 🌐📚

Experiencia en Estrategia de Contenidos: Mínimo 1 años de experiencia en un rol similar, con un portafolio que demuestre tu capacidad para crear estrategias de contenido exitosas. 🖥️📝 Conocimiento de IA: Experiencia excluyente en el uso de herramientas de Inteligencia Artificial para la creación y optimización de contenido. 🤖🛠️ Habilidades Analíticas: Capacidad para interpretar datos y métricas de rendimiento para ajustar y mejorar las estrategias de contenido. 📊📈 Comunicación Efectiva: Excelentes habilidades de comunicación escrita y verbal, con la capacidad de adaptar el tono y estilo del contenido a diferentes audiencias. 🗣️✍️ Creatividad y Innovación: Proactividad en la generación de ideas frescas e innovadoras para mantener el contenido dinámico y atractivo. 🌟💡

Computadora proporcionada por la empresa. 💻 Día libre en tu cumpleaños. 🎉🎂 Modalidad híbrida de trabajo. 🏠🏢 Un ambiente laboral positivo y colaborativo. 🌟🤗 Oportunidad de crecimiento y desarrollo profesional. 🚀📈"
